domain,reference_mixture,optimal_mixture
hackernews,0.0116484375,0.9736777343749958
europarl,0.012736328125000002,0.012736328124999897
nih_exporter,0.005888671875,0.005888671874999952
philpapers,0.005486328125,0.005486328124999955
enron_emails,0.0022109375000000002,0.002210937499999982
ubuntu_irc,0.019599609375,1.942890293094008e-15
dm_mathematics,0.025460937500000003,1.0370483167599675e-15
github,0.110689453125,8.711953310764636e-16
stackexchange,0.09942382812499999,4.726591118888154e-16
arxiv,0.11300390625,0.0
pubmed_central,0.113728515625,0.0
wikipedia_en,0.075078125,0.0
freelaw,0.09680859374999999,0.0
pile_cc,0.119482421875,0.0
gutenberg_pg_19,0.046912109375,0.0
pubmed_abstracts,0.066173828125,0.0
uspto_backgrounds,0.075548828125,0.0
