domain,reference_mixture,recommended_mixture,adjustment
freelaw,0.09682012896067696,0.24205032240169969,0.14523019344102273
uspto_backgrounds,0.07555783013210558,0.18006595737001224,0.10450812723790666
dm_mathematics,0.025463971293454887,0.06365992823388253,0.03819595694042764
wikipedia_en,0.0750870709205589,0.09940244753850605,0.02431537661794715
hackernews,0.01164982546748734,0.029124563668718795,0.017474738201231455
pubmed_central,0.11374206692594235,0.1180267804530784,0.004284713527136053
nih_exporter,0.005889373538644253,0.005889373538644408,1.5525775109992423e-16
philpapers,0.005486981847446669,0.0054869818474465246,-1.448494102440634e-16
enron_emails,0.0022112009438624526,0.0022112009438622843,-1.682681771697503e-16
europarl,0.012737845719900226,0.01273784571989963,-5.950101522600448e-16
ubuntu_irc,0.019601944762950275,0.011741595836391693,-0.007860348926558583
gutenberg_pg_19,0.04691769917900375,0.021747803879026584,-0.025169895299977166
stackexchange,0.09943567495346124,0.06400400075534764,-0.035431674198113605
pubmed_abstracts,0.06618171305565702,0.026816007616886926,-0.0393657054387701
github,0.11070264230699361,0.05908858328474961,-0.051614059022244
arxiv,0.11301737121024184,0.057946606912319176,-0.05507076429792267
pile_cc,0.11949665878161266,0.0,-0.11949665878161266
