Model,N_params_B,D_tokens_B,Val_Loss,LB_Average,pred,Loss_Comparability
EleutherAI/pythia-160m,0.162405,299.893,2.5978,5.730394616916023,9.921936780088075,"High (same model, same validation set)"
EleutherAI/pythia-410m,0.409009,299.893,2.4209,5.227072311484412,13.533683118840536,"High (same model, same validation set)"
EleutherAI/pythia-1b,1.040867,299.893,2.2904,5.07026822083096,16.19808615562515,"High (same model, same validation set)"
EleutherAI/pythia-1.4b,1.416184,299.893,2.2558,6.008531439497028,16.904510255799458,"High (same model, same validation set)"
EleutherAI/pythia-2.8b,2.782831,299.893,2.1911,5.554946281603011,18.2254824893624,"High (same model, same validation set)"
EleutherAI/pythia-6.9b,6.86104,299.893,2.125,5.966546774741993,19.57503835703644,"High (same model, same validation set)"
EleutherAI/pythia-12b,11.965825,299.893,2.0933,6.059841492942702,20.22225350083776,"High (same model, same validation set)"
meta-llama/Meta-Llama-3-8B,8.03,,1.76,13.626857071686077,27.027200107430176,"Medium (different validation set, approximate)"
meta-llama/Llama-2-7b-hf,6.738,,1.75,8.806357596540016,27.231368922509454,"Medium (different validation set, approximate)"
meta-llama/Llama-3.1-8B,8.03,,1.76,14.42086519266696,27.027200107430176,"Medium (different validation set, approximate)"
Qwen/Qwen2-0.5B,0.494,,2.84,7.224121473565234,4.976968078867905,"Medium (different validation set, approximate)"
Qwen/Qwen2-1.5B,1.544,,2.63,10.445452935561454,9.264513195532793,"Medium (different validation set, approximate)"
Qwen/Qwen2-7B,7.616,,2.2,23.9251621404824,18.043772243941838,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-0.5B,0.5,,2.81,6.550067614297009,5.589474524105739,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-1.5B,1.5,,2.58,13.852701161320264,10.28535727092919,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-7B,7.616,,2.15,26.019159924095096,19.064616319338242,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-14B,14.77,,2.02,31.951062693148973,21.718810915368884,"Medium (different validation set, approximate)"
google/gemma-2-2b,2.614,,2.39,10.359615568466916,14.164564757435514,"Medium (different validation set, approximate)"
google/gemma-2-9b,9.0,,2.1,21.20528677610069,20.08546039473464,"Medium (different validation set, approximate)"
google/gemma-2-27b,27.227,,1.95,23.926167340782825,23.14799262092385,"Medium (different validation set, approximate)"
google/gemma-7b,8.538,,2.24,15.442818570272308,17.227096983624712,"Medium (different validation set, approximate)"
microsoft/phi-2,2.78,,2.39,15.5342915582149,14.164564757435514,"Medium (different validation set, approximate)"
microsoft/phi-1_5,1.418,,2.32,7.170966845799231,15.593746462990481,"Medium (different validation set, approximate)"
microsoft/Phi-3-mini-4k-instruct,3.821,,2.15,27.56217404359228,19.064616319338242,"Medium (different validation set, approximate)"
meta-llama/Meta-Llama-3-70B,70.554,,1.71,26.705350171613343,28.04804418282658,"Medium (different validation set, approximate)"
meta-llama/Llama-2-13b-hf,13.016,,1.7,11.065185981273997,28.252212997905858,"Medium (different validation set, approximate)"
meta-llama/Llama-2-70b-hf,68.977,,1.65,18.372598605703004,29.27305707330226,"Medium (different validation set, approximate)"
mistralai/Mistral-7B-v0.1,7.242,,2.1,14.575358924083137,20.08546039473464,"Medium (different validation set, approximate)"
mistralai/Mistral-7B-Instruct-v0.2,7.242,,2.1,18.50789159273764,20.08546039473464,"Medium (different validation set, approximate)"
mistralai/Mixtral-8x7B-v0.1,46.703,,1.9,19.665108918316083,24.168836696320255,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-32B,32.764,,1.95,38.00796730514634,23.14799262092385,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-72B,72.706,,1.85,38.441143572535815,25.189680771716652,"Medium (different validation set, approximate)"
Qwen/Qwen2-57B-A14B,57.409,,1.9,25.0338731324107,24.168836696320255,"Medium (different validation set, approximate)"
01-ai/Yi-6B,6.061,,2.1,13.611617485376058,20.08546039473464,"Medium (different validation set, approximate)"
01-ai/Yi-34B,34.389,,1.9,22.373127018936653,24.168836696320255,"Medium (different validation set, approximate)"
tiiuae/falcon-7b,7.0,,2.25,5.17344472031948,17.02292816854544,"Medium (different validation set, approximate)"
tiiuae/falcon-40b,40.0,,2.05,11.40130446230009,21.10630447013105,"Medium (different validation set, approximate)"
google/gemma-1.1-2b-it,2.506,,2.5,8.053373854341979,11.918707791563435,"Medium (different validation set, approximate)"
google/gemma-1.1-7b-it,8.538,,2.2,17.693584228972615,18.043772243941838,"Medium (different validation set, approximate)"
facebook/opt-1.3b,1.3,,2.75,5.276689334204645,6.814487414581421,"Medium (different validation set, approximate)"
deepseek-ai/deepseek-llm-7b-base,7.0,,2.15,8.227098434870664,19.064616319338242,"Medium (different validation set, approximate)"
microsoft/Phi-3-small-8k-instruct,7.392,,2.05,32.34201367038736,21.10630447013105,"Medium (different validation set, approximate)"
microsoft/Phi-3-medium-4k-instruct,13.96,,1.95,33.09765943937642,23.14799262092385,"Medium (different validation set, approximate)"
01-ai/Yi-1.5-34B,34.389,,1.95,25.64649419429311,23.14799262092385,"Medium (different validation set, approximate)"
01-ai/Yi-1.5-34B-32K,34.389,,1.95,26.72791290850813,23.14799262092385,"Medium (different validation set, approximate)"
01-ai/Yi-1.5-34B-Chat,34.389,,1.95,33.35799367075618,23.14799262092385,"Medium (different validation set, approximate)"
01-ai/Yi-1.5-34B-Chat-16K,34.389,,1.95,29.403554842710225,23.14799262092385,"Medium (different validation set, approximate)"
01-ai/Yi-34B-200K,34.389,,1.9,20.01347533597433,24.168836696320255,"Medium (different validation set, approximate)"
01-ai/Yi-34B-Chat,34.389,,1.9,24.226662652803373,24.168836696320255,"Medium (different validation set, approximate)"
01-ai/Yi-6B-200K,6.061,,2.1,11.99609829883284,20.08546039473464,"Medium (different validation set, approximate)"
01-ai/Yi-6B-Chat,6.061,,2.1,14.11765000523676,20.08546039473464,"Medium (different validation set, approximate)"
EleutherAI/gpt-neox-20b,20.739,,1.9,6.1165221524743325,24.168836696320255,"Medium (different validation set, approximate)"
Qwen/Qwen2-0.5B-Instruct,0.494,,2.84,6.586780633287707,4.976968078867905,"Medium (different validation set, approximate)"
Qwen/Qwen2-1.5B-Instruct,1.544,,2.63,14.141936815181689,9.264513195532793,"Medium (different validation set, approximate)"
Qwen/Qwen2-57B-A14B-Instruct,57.409,,1.9,33.015868823547095,24.168836696320255,"Medium (different validation set, approximate)"
Qwen/Qwen2-7B-Instruct,7.616,,2.2,27.93668778218485,18.043772243941838,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-0.5B-Instruct,0.494,,2.81,10.107543850719257,5.589474524105739,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-1.5B-Instruct,1.5,,2.58,18.430509141644382,10.28535727092919,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-14B-Instruct,14.77,,2.02,41.30945747711163,21.718810915368884,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-14B-Instruct-1M,14.77,,2.02,41.559026792386994,21.718810915368884,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-32B-Instruct,32.764,,1.95,46.59714569921449,23.14799262092385,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-72B-Instruct,72.706,,1.85,47.98045991216864,25.189680771716652,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-7B-Instruct,7.616,,2.15,35.200108659947965,19.064616319338242,"Medium (different validation set, approximate)"
Qwen/Qwen2.5-7B-Instruct-1M,7.616,,2.15,32.76394723937119,19.064616319338242,"Medium (different validation set, approximate)"
bigscience/bloom-7b1,7.069,,2.35,3.795510241848182,14.981240017752633,"Medium (different validation set, approximate)"
google/gemma-2-27b-it,27.227,,1.95,36.17428251510342,23.14799262092385,"Medium (different validation set, approximate)"
google/gemma-2-2b-it,2.614,,2.39,17.046939294966545,14.164564757435514,"Medium (different validation set, approximate)"
google/gemma-2-2b-jpn-it,2.614,,2.39,17.11540570593849,14.164564757435514,"Medium (different validation set, approximate)"
google/gemma-2-9b-it,9.0,,2.1,32.07276025267082,20.08546039473464,"Medium (different validation set, approximate)"
google/gemma-7b-it,8.538,,2.24,13.067087110466217,17.227096983624712,"Medium (different validation set, approximate)"
meta-llama/Meta-Llama-3-70B-Instruct,70.554,,1.71,36.37222412927012,28.04804418282658,"Medium (different validation set, approximate)"
meta-llama/Meta-Llama-3-8B-Instruct,8.03,,1.76,23.90873569393684,27.027200107430176,"Medium (different validation set, approximate)"
microsoft/phi-1,1.418,,2.32,5.574318195377169,15.593746462990481,"Medium (different validation set, approximate)"
tiiuae/falcon-40b-instruct,40.0,,2.05,10.484506782098748,21.10630447013105,"Medium (different validation set, approximate)"
tiiuae/falcon-7b-instruct,7.0,,2.25,5.1165739086852,17.02292816854544,"Medium (different validation set, approximate)"
