id,domain,source,quality_Q
BkiUdvE4eIfiUWiFdbiw,arxiv,A1,0.47871825067203355
BkiUdb44dbjiU9oEeWKt,arxiv,A1,0.7078972181227499
BkiUd0E5qhDBdMC-Fcd6,arxiv,A1,0.7946423430808239
BkiUdPA4dbgg3Wyis_JT,arxiv,A1,0.7299158647176748
BkiUdILxK7FjYAb_67PT,arxiv,A1,0.7800624805944
BkiUfYzxK6-gD5TlfjZo,arxiv,A1,0.6792010393821086
BkiUdZY5qrqCyq8KqH5a,arxiv,A1,0.7491011378914573
BkiUcQrxK02iP15vfcUN,arxiv,A1,0.7128696119312788
BkiUd-7xK7IAD7XMJnpB,arxiv,A1,0.7366738539072936
BkiUdC84eIZjfagW4Wnr,arxiv,A1,0.7043320686579654
BkiUbCM5jDKDx8o5qk9R,arxiv,A1,0.7904974204479348
BkiUdafxaL3SuhsxKGrm,arxiv,A1,0.7566640795402277
BkiUbg05ixsDMJPI2xCB,arxiv,A1,0.7883432624635555
BkiUdEU5qsBC4wbX-bkK,arxiv,A1,0.732428257639894
BkiUbhg25V5hd-428xX-,arxiv,A1,0.6873323250505371
BkiUdGM4dbgg4JMhnNMO,arxiv,A1,0.6626787425483522
BkiUbfvxK6Ot9TMSpOC0,arxiv,A1,0.7196415616362551
BkiUbQY5qX_AY1OJK5_l,arxiv,A1,0.7442556037398335
BkiUd044eIXh4qTE56WZ,arxiv,A1,0.7638830909562205
BkiUe5rxK03BfHDu5U-k,arxiv,A1,0.7652111417067528
BkiUdMg4eIXhx5LdSlN-,arxiv,A1,0.6699609425405503
BkiUdmU5qhLAB-QFvl37,arxiv,A1,0.74506788959202
BkiUc5XxK3YB9raXz91v,arxiv,A1,0.824898440270553
BkiUbtg4uzlgqIdPjLwn,arxiv,A1,0.7004388567301933
BkiUb4bxaL3SuhzLnCaY,arxiv,A1,0.7259509783245334
BkiUc_w25V5ih3AxzUJY,arxiv,A1,0.690819131465019
BkiUdKg4uBhhxJVAbSlB,arxiv,A1,0.797875880302942
BkiUfS45qhLBlnv5FwQt,arxiv,A1,0.7281701099176267
BkiUdjg5qoTA-AMJsvsi,arxiv,A1,0.6960442464440786
BkiUeAY5qsMAI5yh7a-M,arxiv,A1,0.7428834951560425
BkiUdHjxaJJQnMJkXr4l,arxiv,A1,0.7026916225082541
BkiUcNbxK6Ot9Pm3uYdF,arxiv,A1,0.7417786411430334
BkiUdozxK6Ot9UjEBvcU,arxiv,A1,0.7373079729601407
BkiUfd425V5jLX3kjIIW,arxiv,A1,0.7227306731286487
BkiUc__xK7ICUyBu0Ytk,arxiv,A1,0.7002692201599172
BkiUdODxK3YB9ohkMhwr,arxiv,A1,0.7233841572945199
BkiUbdvxK7Ehm308o-UQ,arxiv,A1,0.6886761687473175
BkiUc3U5qoYAq3Pz8uon,arxiv,A1,0.7236448665983277
BkiUbGE5qdmB6uAdshyW,arxiv,A1,0.7268813552575512
BkiUfo8241xiP6pGxj80,arxiv,A1,0.7341794850419713
BkiUfK3xK4tBVhat52yo,arxiv,A1,0.7506085293083623
BkiUdf_xK7FjYEXSFEcl,arxiv,A1,0.7385887566979952
BkiUelHxK7IDF1DduRfs,arxiv,A1,0.7698548167719673
BkiUaYzxK7ICUn2IXhit,arxiv,A1,0.7049915090488983
BkiUdJQ4ubng-JcX4VCP,arxiv,A1,0.7717071131477208
BkiUbbnxK0-nUh8iIHaL,arxiv,A1,0.7045555657188558
BkiUctrxK7FjYHGHzffr,arxiv,A1,0.6856778782365108
BkiUawDxK6EuNAra_58K,arxiv,A1,0.7357179883830982
BkiUairxK0wg09lJ_0zB,arxiv,A1,0.7655252027969633
BkiUdpY4eIOjSBZeeNPE,arxiv,A1,0.7216877020436374
BkiUd-k241xg-MOC_zQI,arxiv,A1,0.7705196945072893
BkiUeGvxK6nrxjHzCYv8,arxiv,A1,0.718904255238044
BkiUd0Q4eIZjxkFh19au,arxiv,A1,0.7687817709989544
BkiUfEs5qhDCNj5tich1,arxiv,A1,0.7451817226699059
BkiUeZbxaKgTq1C9OpJ4,arxiv,A1,0.744101757404548
BkiUdgg5qoYDgbkp4TEY,arxiv,A1,0.7466932468187832
BkiUbVHxK7FjYCv2QCBP,arxiv,A1,0.709240220830384
BkiUfXDxK1ThhAqzYsFE,arxiv,A1,0.7425549379169808
BkiUbq825V5hd-4287Pf,arxiv,A1,0.7491859237318234
BkiUdBw25YjgKNDlVLJa,arxiv,A1,0.7928538807371794
BkiUbSLxK7Ehm4qsy0t6,arxiv,A1,0.7764592956683937
BkiUdgc5qhLBWY0XuZmA,arxiv,A1,0.750711656957281
BkiUd3c4eIZijir1ousz,arxiv,A1,0.7704203262253766
BkiUd3A4dbjiVENjpLkA,arxiv,A1,0.7409709016663527
BkiUdNs5qWTA6f4qDodK,arxiv,A1,0.7614538695690674
BkiUdbfxK02iP5rWKrVw,arxiv,A1,0.7324170746553464
BkiUexfxK6nrxjHzDAkJ,arxiv,A1,0.7426013878409297
BkiUbUY5qhLACFWlxBr3,arxiv,A1,0.6855839016247072
BkiUajHxK6nrxjHy_BsR,arxiv,A1,0.7094584851016853
BkiUbVI5i7PA9OgJDNwj,arxiv,A1,0.7638987629539226
