scope,model,loss_domain,R2,Spearman,RMSE,MAE
train_oof,ridge,arxiv,0.47204953857158316,0.7548743076298052,0.7367332793479674,0.5825026385149419
train_oof,ridge,freelaw,0.6011666176133045,0.8136314494855862,0.49490742485546885,0.42643424084700254
train_oof,ridge,pubmed_central,0.5165940288782265,0.7706201863105251,0.5925378848204683,0.5008576919660055
train_oof,ridge,wikipedia_en,0.6782443311257875,0.8529567175644591,0.2999974113625875,0.2490417293031195
train_oof,ridge,dm_mathematics,0.3657803673632003,0.6886567517538138,1.2211178349224259,1.118555532379455
train_oof,ridge,github,0.5352049804373156,0.8085483757910759,0.7197471335077433,0.5815421899571612
train_oof,ridge,stackexchange,0.5339767121643868,0.8009811200375366,0.5294489762718867,0.4278359481138869
train_oof,ridge,gutenberg_pg_19,0.6716379929591216,0.8726773769469334,0.24932000658257716,0.19356533667316717
train_oof,ridge,pile_cc,0.7503473068811979,0.8809137569952277,0.16010144832506154,0.12997372883986302
train_oof,ridge,ubuntu_irc,0.5341453686352501,0.757482944661883,0.701399017296114,0.6137331389468212
train_oof,ridge,hackernews,0.6481054567712683,0.8300448431295132,0.2030793209742082,0.16392988268461828
train_oof,ridge,pubmed_abstracts,0.7156568691502554,0.9041526833636602,0.3117528940128341,0.23816653785801506
train_oof,ridge,uspto_backgrounds,0.722104790966908,0.8627198168080018,0.2798421667206497,0.23387014648295867
train_oof,sqrt_krr,arxiv,0.8866080500855938,0.9597477569494514,0.3414324645544906,0.23776880786735477
train_oof,sqrt_krr,freelaw,0.9694178002296794,0.9854750675203993,0.13704480555035423,0.10160937196276985
train_oof,sqrt_krr,pubmed_central,0.9114488547519428,0.9611679026332955,0.25360464789844345,0.1927283133835806
train_oof,sqrt_krr,wikipedia_en,0.9747129211998099,0.9897340740550005,0.08410149860847317,0.0601598898604828
train_oof,sqrt_krr,dm_mathematics,0.8406918839527698,0.9135847967521544,0.6120074154432047,0.4937374530351327
train_oof,sqrt_krr,github,0.921106332958408,0.9727145882686167,0.2965311231025265,0.2212028486121226
train_oof,sqrt_krr,stackexchange,0.9403846896888916,0.9797480823920532,0.1893647799728644,0.14147482172382353
train_oof,sqrt_krr,gutenberg_pg_19,0.9316353440067745,0.9745494050480081,0.11376181054067831,0.08061547513646891
train_oof,sqrt_krr,pile_cc,0.9720122104530828,0.9866997688284638,0.05360575693601682,0.03790454875136473
train_oof,sqrt_krr,ubuntu_irc,0.9077146342013573,0.9409693611883588,0.3121809251740944,0.24779826174653893
train_oof,sqrt_krr,hackernews,0.9378426843919909,0.9744268276284319,0.08535040015199583,0.06352599716053481
train_oof,sqrt_krr,pubmed_abstracts,0.9456956868559142,0.9869803289616738,0.13624051785053193,0.08943338096219461
train_oof,sqrt_krr,uspto_backgrounds,0.97805039050328,0.9882533102161798,0.07864769955941087,0.05000922444467697
1m,ridge,arxiv,0.4297531309126137,0.7386015106431676,0.5886967427430125,0.49036906077499276
1m,ridge,freelaw,0.5749009743297764,0.7702406157015333,0.48052080394066077,0.4171247220441153
1m,ridge,pubmed_central,0.5967571054847928,0.8292164969100478,0.5309851655018231,0.4583011625616898
1m,ridge,wikipedia_en,0.7069367893394383,0.8783245593957424,0.2957800257402312,0.24661684521264254
1m,ridge,dm_mathematics,0.4279033106319201,0.7644569695582512,1.159814233909522,1.0505395357033953
1m,ridge,github,0.5577131281438872,0.8364399748226138,0.6126963790770303,0.5068348246890003
1m,ridge,stackexchange,0.5435263819421616,0.8179095616845958,0.44864794325264507,0.3715940553864616
1m,ridge,gutenberg_pg_19,0.6730697792257396,0.8893732833600365,0.25652928776303074,0.20087105349750314
1m,ridge,pile_cc,0.7712355957170283,0.9017988956282901,0.15329101471388484,0.12419380170499508
1m,ridge,ubuntu_irc,0.576824760930938,0.7638325417715723,0.6488384269703333,0.5661982875509025
1m,ridge,hackernews,0.6805387993712462,0.8437499999999999,0.19007544787818226,0.15552501953629783
1m,ridge,pubmed_abstracts,0.7879610299063433,0.9225587949187456,0.26261406375919644,0.2030952689869487
1m,ridge,uspto_backgrounds,0.7145400931679577,0.8478556305790798,0.2725302964288745,0.22439158860300712
1m,sqrt_krr,arxiv,0.8710207569280966,0.953235866330968,0.27997553943335907,0.18773879361858098
1m,sqrt_krr,freelaw,0.9765034967315935,0.9897595273517965,0.11297146432564391,0.08754248301884149
1m,sqrt_krr,pubmed_central,0.9441040440349973,0.9632274261844814,0.19769205703585385,0.15731090499284128
