domain,mean_loss(difficulty),quality_score_Q(loss代理)
dm_mathematics,3.8935756706632674,1.0
arxiv,5.04406272014603,0.5674716350461102
pubmed_central,5.1759300655685365,0.5178957903357773
uspto_backgrounds,5.177806387655437,0.5171903825480593
stackexchange,5.245853285305202,0.4916079882100528
github,5.27951684454456,0.47895209239369063
freelaw,5.28257419122383,0.4778026755785457
hackernews,5.403714658692479,0.43225962635646076
pubmed_abstracts,5.439561689272523,0.4187828492539205
gutenberg_pg_19,5.445764048025012,0.4164510576085668
pile_cc,5.727793703787029,0.31042133225868473
wikipedia_en,5.810897937975824,0.27917809614352385
ubuntu_irc,6.55348688736558,0.0
