lambda,domain,mixture
0.0001,arxiv,0.0
0.0001,freelaw,0.0
0.0001,nih_exporter,0.005888671875
0.0001,pubmed_central,0.2843212890625
0.0001,wikipedia_en,0.01630957031250002
0.0001,dm_mathematics,0.06365234375
0.0001,github,0.0
0.0001,philpapers,0.005486328125
0.0001,stackexchange,0.24855957031249998
0.0001,enron_emails,0.0022109375000000002
0.0001,gutenberg_pg_19,0.1172802734375
0.0001,pile_cc,0.0
0.0001,ubuntu_irc,0.0489990234375
0.0001,europarl,0.012736328125000002
0.0001,hackernews,0.02912109375
0.0001,pubmed_abstracts,0.1654345703125
0.0001,uspto_backgrounds,0.0
0.001,arxiv,0.0
0.001,freelaw,0.0
0.001,nih_exporter,0.005888671875
0.001,pubmed_central,0.2843212890625
0.001,wikipedia_en,0.01630957031250002
0.001,dm_mathematics,0.06365234375
0.001,github,0.0
0.001,philpapers,0.005486328125
0.001,stackexchange,0.24855957031249998
0.001,enron_emails,0.0022109375000000002
0.001,gutenberg_pg_19,0.1172802734375
0.001,pile_cc,0.0
0.001,ubuntu_irc,0.0489990234375
0.001,europarl,0.012736328125000002
0.001,hackernews,0.02912109375
0.001,pubmed_abstracts,0.1654345703125
0.001,uspto_backgrounds,0.0
0.01,arxiv,0.0
0.01,freelaw,0.0
0.01,nih_exporter,0.005888671875
0.01,pubmed_central,0.2843212890625
0.01,wikipedia_en,0.01630957031250002
0.01,dm_mathematics,0.06365234375
0.01,github,0.0
0.01,philpapers,0.005486328125
0.01,stackexchange,0.24855957031249998
0.01,enron_emails,0.0022109375000000002
0.01,gutenberg_pg_19,0.1172802734375
0.01,pile_cc,0.0
0.01,ubuntu_irc,0.0489990234375
0.01,europarl,0.012736328125000002
0.01,hackernews,0.02912109375
0.01,pubmed_abstracts,0.1654345703125
0.01,uspto_backgrounds,0.0
0.1,arxiv,0.0
0.1,freelaw,0.0
0.1,nih_exporter,0.005888671875
0.1,pubmed_central,0.11293554687500007
0.1,wikipedia_en,0.1876953125
0.1,dm_mathematics,0.06365234375
0.1,github,0.0
0.1,philpapers,0.005486328125
0.1,stackexchange,0.24855957031249998
0.1,enron_emails,0.0022109375000000002
0.1,gutenberg_pg_19,0.1172802734375
0.1,pile_cc,0.0
0.1,ubuntu_irc,0.0489990234375
0.1,europarl,0.012736328125000002
0.1,hackernews,0.02912109375
0.1,pubmed_abstracts,0.1654345703125
0.1,uspto_backgrounds,0.0
