family,N_params_B,D_tokens_B,val_loss,is_converged,pred
Ling-flash-base-2.0-20T,100.0,20000.0,1.8412,1,1.8212595439704198
FaXin,100.0,3670.0,1.8882,1,1.8696322641836784
PLaMo-100B,100.0,2000.0,1.9112,1,1.8932575728553473
Yi-Large,100.0,3000.0,1.8954,1,1.8770417926537546
Hunyuan,100.0,2000.0,1.9112,1,1.8932575728553473
Luca 2.0,100.0,2000.0,1.9112,1,1.8932575728553473
xTrimoPGLM -100B,100.0,275.0,2.0206,1,2.005026776942317
YaLM,100.0,300.0,2.0144,1,1.9987336033171588
FLM-101B,101.0,311.5,2.0116,1,1.9957849473340061
"Solar Open 100B
",102.0,19700.0,1.841,1,1.8210526885222336
Odyssey 102B,102.0,179.7,2.0526,1,2.037533737285924
Yuan 2.0,102.6,289.1,2.0164,1,2.0006854882019414
InternLM,104.0,1600.0,1.9197,1,1.9019119645837925
Ring-flash-linear-2.0,104.2,1000.0,1.9417,1,1.9244315036801394
GLM-4.5-Air,106.0,2603.8,1.8993,1,1.8809058331908886
GLM-4.5V,108.0,2013.3,1.909,1,1.8908772508655656
Llama 4 Scout,109.0,30000.0,1.8308,1,1.8103352641234045
Telechat2-115B,115.0,10000.0,1.8543,1,1.8345679503424468
gpt-oss-120b,116.8,7047.3,1.8636,1,1.8441113005272907
Galactica,120.0,106.0,2.0947,1,2.079987054142743
Mistral Large 2,123.0,28861.8,1.8286,1,1.8079289927586986
Step-Audio-Chat 130B,130.0,1668.0,1.9126,1,1.8941793045532982
Step-1,130.0,800.0,1.948,1,1.9304006882658662
Step-Omni,130.0,2468.0,1.8965,1,1.8776731229340546
BlueLM 130B,130.0,1000.0,1.9364,1,1.9186122511389614
GLM-130B,130.0,152.0,2.0607,1,2.045239895464015
DBRX,132.0,12000.0,1.8464,1,1.8261927628799208
Pangu Ultra,135.0,13200.0,1.8436,1,1.8232051493043533
MEB,135.0,500.0,1.9739,1,1.9567925565021875
BIG-G 137B,137.0,681.2,1.9555,1,1.9380367103916665
LaMDA,137.0,2080.0,1.9021,1,1.8833406955869068
FLAN 137B,137.0,2490.0,1.8949,1,1.87600052622606
Mixtral 8x22B,141.0,2766.0,1.8903,1,1.8711636937295322
dots.llm1,142.0,11328.0,1.8462,1,1.8258674580742593
GPT-3 175B (davinci),174.6,238.0,2.0185,1,2.0017368816824015
MegaScale (175B),175.0,300.0,2.0016,1,1.9845993243512001
BlueLM 175B,175.0,1000.0,1.9299,1,1.9114266043419428
OPT-IML (175B),175.0,2.0,2.77,1,2.75941379591685
BlenderBot 3,175.0,1.3,2.9007,1,2.8901763580791027
OPT-175B,175.0,180.0,2.0402,1,2.0238076280219386
BLUUMI,176.0,38.0,2.1978,1,2.1836512208566066
BLOOMZ-176B,176.0,20.0,2.2857,1,2.2725462876662834
XuanYuan 2.0,176.2,366.0,1.9879,1,1.9706163343877867
BLOOM-176B,176.2,379.0,1.9856,1,1.9682670810033611
Jurassic-1-Jumbo,178.0,300.0,2.0013,1,1.9842091391681977
Falcon-180B,180.0,3500.0,1.8765,1,1.8565588550543164
SenseChat,180.0,3601.9,1.8754,1,1.855523681126312
Mi:dm 200B,200.0,1000.0,1.9272,1,1.9084188947934013
Amazon Titan,200.0,4000.0,1.8697,1,1.8494491623719875
HyperCLOVA 204B,204.0,560.0,1.9584,1,1.9401937110250436
PanGu-α,207.0,41.2,2.1845,1,2.169901307178956
Qwen3-235B-A22B-Thinking (Jul 2025),235.0,36000.0,1.8108,1,1.7885261735332187
Qwen3-235B-A22B (Jul 2025),235.0,36000.0,1.8108,1,1.7885261735332187
