mixture_domain,quality_domain,mapping_type,note,quality_Q,quality_source
arxiv,arxiv,direct,配方域名与质量信号域名一致,0.7012099041119916,A1-A3域映射
github,github,direct,配方域名与质量信号域名一致,0.4547295712568519,A1-A3域映射
stackexchange,stackexchange,direct,配方域名与质量信号域名一致,0.6548498004306916,A1-A3域映射
wikipedia_en,wikipedia,near_direct,名称略有差异，语义对应,0.550878498472236,A1-A3域映射
gutenberg_pg_19,book,near_direct,书籍类文本，可参考 book 域质量信号,0.5524455473605695,A1-A3域映射
pile_cc,commoncrawl,near_direct,网页抓取类文本，可参考 commoncrawl 域质量信号,0.6153107210122949,A1-A3域映射
dm_mathematics,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
freelaw,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
nih_exporter,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
pubmed_central,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
philpapers,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
enron_emails,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
ubuntu_irc,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
europarl,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
hackernews,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
pubmed_abstracts,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
uspto_backgrounds,(none),inferred,无同名质量域，需自行建立关联,0.4951575263874397,全局均值推断
