loss_domain,train_R2,test1m_R2,test60m_r,test1B_r,mean_loss,quality_Q(loss代理)
arxiv,0.5204321085221972,0.429753130912614,0.7059442827585792,0.724340660704139,5.04406272014603,0.5674716350461102
freelaw,0.6270518642153324,0.5749009743297758,0.7527415509896536,0.6039815711837051,5.28257419122383,0.4778026755785457
pubmed_central,0.5568268654185377,0.5967571054847931,0.7828409988182861,0.665291065215604,5.1759300655685365,0.5178957903357773
wikipedia_en,0.7024152301219131,0.7069367893394365,0.8360543167853929,0.7435698087651699,5.810897937975824,0.27917809614352385
dm_mathematics,0.42139626811270303,0.42790331063191944,0.6360263095088258,0.5219153406787604,3.8935756706632674,1.0
github,0.5727747863360355,0.5577131281438872,0.7435326188664422,0.6423882476476324,5.27951684454456,0.47895209239369063
stackexchange,0.5720843558009454,0.5435263819421626,0.7420300376382244,0.679488646331412,5.245853285305202,0.4916079882100528
gutenberg_pg_19,0.6955317007801886,0.6730697792257385,0.8373761583334995,0.6865992856341665,5.445764048025012,0.4164510576085668
pile_cc,0.7684878938287938,0.7712355957170284,0.868137900950311,0.7194515224764414,5.727793703787029,0.31042133225868473
ubuntu_irc,0.5746843622346828,0.5768247609309367,0.7460170107422073,0.6446246837509525,6.55348688736558,0.0
hackernews,0.6743872276792409,0.6805387993712473,0.815839686463381,0.5293483895129595,5.403714658692479,0.43225962635646076
pubmed_abstracts,0.7473290166679385,0.7879610299063429,0.8781532222035746,0.5451563844057034,5.439561689272523,0.4187828492539205
uspto_backgrounds,0.7431385421409211,0.7145400931679584,0.8266020774705818,0.7627052453070837,5.177806387655437,0.5171903825480593
